Player,Pos,ADP,Min,Max,Range,1062,1063,1064,1065,1066,1067,1068,1069,1070,1071,1072,1073,1074,1075,1076,1077,1078,1079,1080,1081,1082,1083
Nick Kurtz,1B,26.4,15.0,30.0,15.0,24.0,17.0,15.0,23.0,21.0,16.0,19.0,27.0,23.0,24.0,20.0,22.0,22.0,21.0,21.0,20.0,24.0,20.0,17.0,23.0,30.0,25.0
Pete Alonso,1B,27.27,18.0,34.0,16.0,21.0,26.0,33.0,21.0,24.0,21.0,21.0,20.0,18.0,32.0,22.0,24.0,34.0,24.0,22.0,23.0,25.0,28.0,25.0,26.0,32.0,18.0
Trea Turner,SS,27.31,22.0,30.0,8.0,26.0,24.0,23.0,27.0,29.0,22.0,27.0,24.0,27.0,22.0,27.0,27.0,26.0,25.0,24.0,25.0,28.0,23.0,24.0,30.0,25.0,24.0
Edwin Diaz,P,30.16,20.0,42.0,22.0,31.0,28.0,27.0,38.0,42.0,38.0,33.0,28.0,24.0,27.0,25.0,31.0,37.0,30.0,35.0,26.0,34.0,39.0,40.0,29.0,20.0,30.0
Cristopher Sanchez,P,31.23,14.0,37.0,23.0,25.0,27.0,21.0,25.0,22.0,30.0,29.0,29.0,30.0,31.0,26.0,33.0,20.0,26.0,28.0,37.0,14.0,36.0,29.0,27.0,22.0,31.0
Andres Munoz,P,32.9,21.0,45.0,24.0,36.0,39.0,45.0,39.0,39.0,43.0,37.0,32.0,36.0,33.0,33.0,21.0,45.0,40.0,37.0,28.0,37.0,25.0,44.0,39.0,37.0,32.0
Mason Miller,P,32.94,19.0,36.0,17.0,35.0,36.0,26.0,24.0,31.0,31.0,31.0,30.0,22.0,34.0,31.0,36.0,27.0,35.0,25.0,24.0,30.0,30.0,27.0,19.0,26.0,29.0
Pete Crow-Armstrong,OF,34.85,24.0,45.0,21.0,37.0,41.0,32.0,32.0,44.0,45.0,26.0,31.0,41.0,30.0,24.0,28.0,28.0,38.0,41.0,38.0,35.0,32.0,30.0,44.0,27.0,27.0
Chris Sale,P,35.24,17.0,61.0,44.0,38.0,33.0,43.0,43.0,47.0,49.0,51.0,50.0,61.0,35.0,36.0,39.0,41.0,29.0,42.0,43.0,17.0,48.0,37.0,43.0,40.0,40.0
Jhoan Duran,P,35.46,28.0,48.0,20.0,42.0,46.0,38.0,44.0,37.0,46.0,28.0,34.0,34.0,38.0,35.0,38.0,47.0,41.0,39.0,36.0,38.0,43.0,48.0,41.0,36.0,39.0
Zach Neto,SS,35.52,23.0,42.0,19.0,27.0,29.0,34.0,31.0,23.0,26.0,36.0,26.0,29.0,29.0,30.0,37.0,29.0,32.0,30.0,29.0,29.0,27.0,23.0,25.0,42.0,26.0
Hunter Brown,P,35.96,26.0,55.0,29.0,30.0,45.0,39.0,51.0,33.0,35.0,48.0,43.0,44.0,36.0,34.0,32.0,31.0,37.0,26.0,55.0,31.0,31.0,34.0,31.0,31.0,41.0
Logan Gilbert,P,37.32,31.0,54.0,23.0,34.0,35.0,35.0,34.0,34.0,39.0,40.0,45.0,31.0,44.0,41.0,34.0,36.0,39.0,31.0,44.0,33.0,54.0,38.0,37.0,39.0,34.0
James Wood,OF,38.17,25.0,47.0,22.0,32.0,38.0,36.0,30.0,40.0,40.0,25.0,36.0,35.0,39.0,37.0,35.0,39.0,27.0,38.0,30.0,45.0,35.0,35.0,34.0,47.0,43.0
Ketel Marte,2B,38.7,21.0,42.0,21.0,28.0,42.0,28.0,33.0,26.0,29.0,34.0,37.0,42.0,23.0,40.0,29.0,25.0,33.0,36.0,40.0,42.0,21.0,33.0,35.0,33.0,36.0
Manny Machado,3B,39.91,24.0,51.0,27.0,39.0,31.0,42.0,37.0,28.0,37.0,38.0,33.0,33.0,41.0,38.0,30.0,32.0,34.0,45.0,33.0,51.0,24.0,31.0,33.0,34.0,44.0
Cade Smith,P,42.48,26.0,53.0,27.0,45.0,40.0,40.0,26.0,41.0,42.0,41.0,40.0,38.0,40.0,46.0,40.0,38.0,42.0,33.0,34.0,36.0,37.0,53.0,40.0,35.0,38.0
Yordan Alvarez,UT,42.59,28.0,45.0,17.0,40.0,30.0,30.0,35.0,32.0,28.0,45.0,35.0,39.0,37.0,43.0,41.0,35.0,36.0,40.0,35.0,43.0,34.0,43.0,42.0,28.0,28.0
Bryan Woo,P,43.22,28.0,44.0,16.0,33.0,34.0,41.0,42.0,35.0,32.0,32.0,41.0,32.0,28.0,32.0,43.0,40.0,31.0,32.0,39.0,32.0,44.0,36.0,28.0,38.0,37.0
David Bednar,P,45.57,39.0,75.0,36.0,53.0,73.0,49.0,59.0,48.0,62.0,39.0,62.0,62.0,52.0,54.0,50.0,57.0,63.0,48.0,51.0,40.0,68.0,63.0,75.0,43.0,50.0
Hunter Greene,P,46.83,37.0,56.0,19.0,51.0,51.0,37.0,47.0,51.0,44.0,47.0,51.0,49.0,,45.0,48.0,49.0,45.0,44.0,56.0,48.0,45.0,41.0,46.0,54.0,48.0
Jacob deGrom,P,47.32,39.0,66.0,27.0,43.0,59.0,64.0,46.0,65.0,66.0,55.0,52.0,52.0,,53.0,42.0,46.0,49.0,47.0,66.0,39.0,55.0,51.0,50.0,55.0,55.0
Wyatt Langford,OF,50.97,31.0,58.0,27.0,50.0,37.0,46.0,53.0,49.0,36.0,58.0,46.0,45.0,42.0,39.0,52.0,52.0,51.0,43.0,31.0,50.0,47.0,42.0,36.0,53.0,53.0
Bryce Harper,1B,52.02,31.0,58.0,27.0,44.0,32.0,31.0,52.0,36.0,52.0,50.0,39.0,46.0,43.0,44.0,46.0,33.0,44.0,49.0,45.0,47.0,41.0,49.0,45.0,58.0,47.0
Aroldis Chapman,P,52.07,43.0,73.0,30.0,47.0,63.0,59.0,55.0,56.0,71.0,44.0,49.0,68.0,,,61.0,54.0,43.0,52.0,59.0,52.0,,64.0,73.0,63.0,51.0
Cole Ragans,P,53.23,32.0,59.0,27.0,59.0,53.0,44.0,48.0,55.0,48.0,52.0,42.0,51.0,51.0,52.0,44.0,58.0,55.0,46.0,58.0,49.0,42.0,32.0,48.0,44.0,49.0
Logan Webb,P,53.47,38.0,72.0,34.0,54.0,44.0,72.0,50.0,52.0,51.0,42.0,55.0,56.0,45.0,49.0,45.0,53.0,47.0,53.0,60.0,56.0,,46.0,38.0,51.0,45.0
Matt Olson,1B,53.77,33.0,70.0,37.0,58.0,49.0,56.0,54.0,38.0,33.0,70.0,38.0,48.0,47.0,56.0,57.0,51.0,56.0,54.0,47.0,59.0,56.0,60.0,52.0,69.0,42.0
CJ Abrams,SS,54.99,34.0,81.0,47.0,46.0,52.0,76.0,36.0,67.0,34.0,53.0,,60.0,,51.0,58.0,43.0,46.0,56.0,81.0,53.0,66.0,57.0,76.0,67.0,66.0
William Contreras,C,55.38,40.0,70.0,30.0,63.0,55.0,50.0,62.0,53.0,50.0,54.0,59.0,40.0,54.0,42.0,63.0,60.0,70.0,,52.0,54.0,46.0,54.0,60.0,41.0,70.0
Max Fried,P,56.14,46.0,66.0,20.0,49.0,48.0,47.0,56.0,46.0,55.0,60.0,47.0,53.0,,48.0,54.0,59.0,66.0,50.0,46.0,57.0,53.0,50.0,49.0,48.0,60.0
Mookie Betts,SS,57.18,40.0,69.0,29.0,65.0,50.0,51.0,69.0,69.0,65.0,64.0,53.0,55.0,50.0,,56.0,55.0,50.0,,41.0,66.0,40.0,45.0,56.0,60.0,61.0
Brent Rooker,OF,57.57,33.0,58.0,25.0,41.0,43.0,58.0,45.0,45.0,41.0,43.0,44.0,37.0,46.0,47.0,55.0,42.0,48.0,34.0,42.0,44.0,38.0,39.0,47.0,46.0,33.0
Josh Hader,P,57.68,65.0,88.0,23.0,67.0,,,88.0,,,,,,,,,65.0,,,,67.0,,,,,
